time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T01:49:38.876Z,23.8952,121.8966,10,5.1,mb,54,64,0.743,0.65,us,us7000m9hh,2024-04-05T02:16:13.040Z,"31 km ESE of Hualien City, Taiwan",earthquake,2.85,1.826,0.045,162,reviewed,us,us
2024-04-03T01:39:34.840Z,23.8173,121.7886,14.394,5.6,mwr,72,41,0.618,0.79,us,us7000m9h9,2024-04-05T02:10:44.759Z,"25 km SE of Hualien City, Taiwan",earthquake,3.5,3.496,0.089,12,reviewed,us,us
2024-04-03T01:17:38.874Z,23.9666,121.7584,10,5.1,mb,63,77,0.711,0.79,us,us7000m9h7,2024-04-05T01:52:41.040Z,"15 km E of Hualien City, Taiwan",earthquake,2.53,1.821,0.045,161,reviewed,us,us
2024-04-03T01:09:37.163Z,24.175,121.7556,10,5.2,mb,176,63,0.602,0.54,us,us7000m9h5,2024-04-05T01:01:00.040Z,"26 km NE of Hualien City, Taiwan",earthquake,2.95,1.24,0.049,136,reviewed,us,us
2024-04-03T00:50:46.617Z,23.7842,121.5559,27.352,5.2,mb,35,70,0.551,1.11,us,us7000m9gx,2024-04-03T01:59:10.643Z,"21 km SSW of Hualien City, Taiwan",earthquake,5.32,5.233,0.076,58,reviewed,us,us
2024-04-03T00:46:44.212Z,24.1465,121.7427,10,5.7,mb,73,27,0.619,0.75,us,us7000m9gp,2024-04-04T00:53:00.960Z,"23 km NE of Hualien City, Taiwan",earthquake,3.26,1.842,0.042,201,reviewed,us,us
2024-04-03T00:43:55.149Z,23.9598,121.5954,10,5.5,mb,48,53,0.612,0.71,us,us7000m9gm,2024-04-04T00:50:04.386Z,"2 km SSW of Hualien City, Taiwan",earthquake,3.03,1.878,0.048,148,reviewed,us,us
2024-04-03T00:35:36.724Z,24.1609,121.7097,10,5.7,mb,62,49,0.591,0.78,us,us7000m9gh,2024-04-04T15:18:41.094Z,"23 km NNE of Hualien City, Taiwan",earthquake,1.94,1.835,0.045,175,reviewed,us,us
2024-04-03T00:11:25.327Z,24.0639,121.6717,12.564,6.4,mww,73,29,0.661,0.91,us,us7000m9gc,2024-04-04T11:45:46.113Z,"11 km NE of Hualien City, Taiwan",earthquake,1.23,3.276,0.062,25,reviewed,us,us
2024-04-02T23:58:11.228Z,23.819,121.5616,34.75,7.4,mww,87,23,0.354,1.18,us,us7000m9g4,2024-04-05T03:23:12.015Z,"18 km SSW of Hualien City, Taiwan",earthquake,4.35,4.487,0.043,51,reviewed,us,us
2024-04-02T22:16:44.425Z,15.8873,146.8927,10,5.2,mww,136,35,1.243,0.94,us,us7000m9fv,2024-04-03T22:21:06.377Z,"143 km ENE of Saipan, Northern Mariana Islands",earthquake,9.14,1.754,0.061,26,reviewed,us,us
2024-04-02T09:54:09.025Z,15.8161,146.8662,10,6.2,mww,151,27,1.185,0.63,us,us7000m9bq,2024-04-04T10:04:13.075Z,"136 km ENE of Saipan, Northern Mariana Islands",earthquake,7.44,1.791,0.056,31,reviewed,us,us
2024-04-01T19:24:36.698Z,40.1385,141.7057,72.855,5.9,mww,124,34,0.814,1.13,us,us7000m98g,2024-04-03T06:22:24.317Z,"7 km SW of Kuji, Japan",earthquake,6.11,5.521,0.047,44,reviewed,us,us
2024-04-01T14:45:16.109Z,8.2511,-103.2264,10,5.3,mww,115,104,10.308,0.69,us,us7000m976,2024-04-02T14:48:29.065Z,"northern East Pacific Rise",earthquake,12.18,1.854,0.056,31,reviewed,us,us
2024-04-01T01:39:04.000Z,-6.2336,155.0792,149.74,5.1,mww,78,67,5.779,0.37,us,us7000m94s,2024-04-02T00:13:12.040Z,"45 km WNW of Panguna, Papua New Guinea",earthquake,11.07,6.326,0.11,8,reviewed,us,us
2024-03-31T18:20:23.672Z,-22.7522,171.5592,10,5,mb,36,118,3.801,0.53,us,us7000m93l,2024-03-31T18:39:25.040Z,"southeast of the Loyalty Islands",earthquake,11.68,1.894,0.072,62,reviewed,us,us
2024-03-31T17:01:51.375Z,-62.7216,156.0013,10,5.9,mww,40,103,8.388,0.59,us,us7000m936,2024-04-01T17:06:42.275Z,"Balleny Islands region",earthquake,6.66,1.88,0.057,30,reviewed,us,us
2024-03-31T03:01:44.536Z,-19.9153,-175.9723,10,5.5,mww,39,93,1.441,1.02,us,us7000m90u,2024-04-02T05:49:17.040Z,"155 km NNW of Houma, Tonga",earthquake,10.41,1.885,0.089,12,reviewed,us,us
2024-03-31T00:25:15.252Z,39.043,70.8693,10,5,mb,102,83,0.842,0.8,us,us7000m90b,2024-03-31T07:25:09.028Z,"42 km E of Rasht, Tajikistan",earthquake,5.08,1.84,0.045,159,reviewed,us,us
2024-03-30T22:55:51.655Z,-6.3203,154.7674,67.61,5.1,mww,121,60,5.994,0.58,us,us7000m900,2024-03-30T23:38:55.040Z,"79 km W of Panguna, Papua New Guinea",earthquake,9.25,5.366,0.117,7,reviewed,us,us
2024-03-30T22:07:15.316Z,-18.5245,-173.9693,36.814,5,mb,30,119,2.877,0.62,us,us7000m8zs,2024-03-30T22:37:26.040Z,"14 km N of Neiafu, Tonga",earthquake,9.9,9.226,0.108,27,reviewed,us,us
2024-03-30T17:35:49.629Z,-19.7045,-175.9336,10,5.2,mww,148,49,1.61,0.58,us,us7000m8z0,2024-04-02T16:37:24.040Z,"165 km W of Pangai, Tonga",earthquake,7.63,1.705,0.11,8,reviewed,us,us
2024-03-30T16:44:25.212Z,-19.7825,-175.9951,10.849,5.3,mww,95,67,1.567,0.78,us,us7000m8yl,2024-04-02T15:52:25.040Z,"169 km NNW of Houma, Tonga",earthquake,8.97,3.445,0.075,17,reviewed,us,us
2024-03-30T16:28:57.857Z,52.0965,178.4069,114.874,5.8,mww,318,25,0.144,0.82,us,us7000m8yd,2024-04-04T16:39:04.982Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,7.06,2.763,0.035,77,reviewed,us,us
2024-03-30T09:48:17.183Z,-4.02,-103.9065,10,5.1,mww,40,149,22.083,0.95,us,us7000m8ww,2024-04-02T12:12:45.040Z,"central East Pacific Rise",earthquake,14.35,1.92,0.066,22,reviewed,us,us
2024-03-29T21:12:14.482Z,-24.8267,-174.9923,10,5,mb,27,127,3.645,0.38,us,us7000m8tz,2024-03-29T21:39:14.040Z,"south of Tonga",earthquake,9.84,1.848,0.137,17,reviewed,us,us
2024-03-29T17:58:36.441Z,12.7977,-44.8842,10,5.1,mww,180,36,10.818,0.53,us,us7000m8sn,2024-03-30T16:09:41.040Z,"northern Mid-Atlantic Ridge",earthquake,9.74,1.832,0.083,14,reviewed,us,us
2024-03-29T16:19:38.303Z,12.7571,-44.9617,10,5,mb,28,85,10.736,0.94,us,us7000m8s7,2024-03-29T16:37:30.040Z,"northern Mid-Atlantic Ridge",earthquake,9.12,1.905,0.064,79,reviewed,us,us
2024-03-29T14:40:56.698Z,-27.9766,-178.0418,10,5.4,mww,28,75,1.268,0.89,us,us7000m8rg,2024-03-30T14:44:53.937Z,"Kermadec Islands region",earthquake,9.58,1.898,0.061,26,reviewed,us,us
2024-03-29T09:57:05.816Z,-4.5577,149.578,576.946,5.6,mww,94,34,9.087,0.56,us,us7000m8qr,2024-03-30T10:00:39.749Z,"126 km NNW of Kimbe, Papua New Guinea",earthquake,9.99,7.706,0.098,10,reviewed,us,us
2024-03-29T07:12:47.809Z,37.3286,21.3156,25.489,5.8,mww,127,32,0.509,1.14,us,us7000m8q9,2024-03-30T07:17:56.178Z,"30 km NW of Filiatrá, Greece",earthquake,3.99,4.39,0.044,49,reviewed,us,us
2024-03-29T06:29:32.991Z,-16.8182,168.1238,10,5,mb,27,163,5.197,0.9,us,us7000m8pz,2024-03-29T06:49:33.040Z,"103 km N of Port-Vila, Vanuatu",earthquake,12.07,1.934,0.115,24,reviewed,us,us
2024-03-29T04:58:55.062Z,17.0294,147.3128,10,5,mb,57,122,2.304,0.78,us,us7000m8pq,2024-03-29T05:16:17.040Z,"261 km NE of Saipan, Northern Mariana Islands",earthquake,11.05,1.888,0.044,167,reviewed,us,us
2024-03-29T02:02:40.210Z,17.0238,147.3638,10,5.1,mww,73,97,2.331,0.88,us,us7000m8p1,2024-04-05T02:12:51.929Z,"264 km NE of Saipan, Northern Mariana Islands",earthquake,10.69,1.866,0.11,8,reviewed,us,us
2024-03-29T01:54:37.536Z,17.0488,147.3335,10,5,mb,53,126,2.331,0.76,us,us7000m8p0,2024-03-29T02:34:49.744Z,"264 km NE of Saipan, Northern Mariana Islands",earthquake,10.49,1.875,0.048,141,reviewed,us,us
2024-03-28T10:55:10.269Z,36.2506,71.1753,106.239,5.1,mb,107,43,3.112,0.68,us,us7000m8ib,2024-03-28T18:15:58.986Z,"57 km SSW of Ashkāsham, Afghanistan",earthquake,7.43,6.213,0.055,187,reviewed,us,us
2024-03-28T04:05:14.851Z,-7.9105,-74.4412,146.63,5.1,mww,111,97,4.691,0.76,us,us7000m8gh,2024-03-29T03:10:02.530Z,"53 km NNE of Pucallpa, Peru",earthquake,4.61,6.653,0.056,31,reviewed,us,us
2024-03-27T22:49:50.038Z,-24.3334,-179.7421,468.418,5,mb,63,104,5.153,0.87,us,us7000m8f0,2024-03-27T23:06:31.040Z,"south of the Fiji Islands",earthquake,12.41,9.072,0.068,69,reviewed,us,us
2024-03-27T14:16:14.024Z,-8.7518,-72.7843,11.74,5,mb,181,74,5.126,0.65,us,us7000m8au,2024-03-27T15:04:21.040Z,"20 km N of Marechal Thaumaturgo, Brazil",earthquake,8.1,3.885,0.034,278,reviewed,us,us
2024-03-27T13:49:18.102Z,-20.7415,173.8249,8.144,5.4,mww,78,74,4.983,0.72,us,us7000m8an,2024-03-28T13:52:41.486Z,"Vanuatu region",earthquake,8.68,4.142,0.065,23,reviewed,us,us
2024-03-27T03:23:02.958Z,42.3071,-126.7225,10,5.6,mww,130,116,1.761,0.53,us,us7000m875,2024-04-04T03:33:05.636Z,"189 km WSW of Port Orford, Oregon",earthquake,6.01,1.517,0.034,81,reviewed,us,us
2024-03-27T01:28:21.000Z,-20.9,173.8,10,6.7,Mi,21,93.5999925120006,5.906423,1.56,at,at00sazg39,2024-03-27T01:40:31.536Z,"Vanuatu region",earthquake,0,0,,7,reviewed,at,at
2024-03-27T01:28:17.732Z,-21.0872,173.7456,10,6.4,mww,89,41,5.251,0.91,us,us7000m86i,2024-04-03T21:18:08.225Z,"Vanuatu region",earthquake,9.08,1.732,0.043,53,reviewed,us,us
2024-03-26T17:49:35.453Z,-5.3315,145.8772,69.756,5.1,mww,134,48,4.242,0.7,us,us7000m845,2024-04-04T14:28:21.544Z,"15 km SE of Madang, Papua New Guinea",earthquake,8.04,4.982,0.073,18,reviewed,us,us
2024-03-26T13:14:08.828Z,-1.6371,-15.3706,10,5.4,mww,255,28,6.334,0.46,us,us7000m82w,2024-03-28T21:47:11.517Z,"north of Ascension Island",earthquake,7.21,1.68,0.093,11,reviewed,us,us
2024-03-26T09:37:12.157Z,-20.6854,-173.8734,10,5.4,mww,56,85,1.334,0.96,us,us7000m826,2024-03-27T09:41:44.673Z,"108 km SSE of Pangai, Tonga",earthquake,7.24,1.868,0.089,12,reviewed,us,us
2024-03-25T17:00:03.652Z,-58.8975,158.5256,10,5.5,mww,28,113,4.417,1.16,us,us7000m7xz,2024-03-26T17:04:04.017Z,"Macquarie Island region",earthquake,14.08,1.926,0.078,16,reviewed,us,us
2024-03-25T05:22:17.054Z,16.5616,-46.4578,10,5.5,mww,300,54,12.896,0.55,us,us6000ml19,2024-03-26T05:26:07.266Z,"northern Mid-Atlantic Ridge",earthquake,9.62,1.851,0.06,27,reviewed,us,us
2024-03-25T02:36:41.528Z,52.4302,163.5663,10,5.1,mww,137,55,3.619,0.44,us,us6000ml0l,2024-04-01T21:35:03.040Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,7.54,1.615,0.069,20,reviewed,us,us
2024-03-25T02:21:44.481Z,12.095,143.9361,10,5.2,mb,80,37,1.741,0.6,us,us6000ml0j,2024-04-05T02:31:54.098Z,"152 km SSW of Merizo Village, Guam",earthquake,9.27,1.726,0.042,185,reviewed,us,us
2024-03-24T19:50:11.404Z,-19.4557,-70.1068,78.904,5.1,mb,63,125,0.811,0.92,us,us6000mkzs,2024-03-30T15:20:55.329Z,"33 km SSE of Cuya, Chile",earthquake,2.8,5.293,0.031,350,reviewed,us,us
2024-03-24T13:12:06.555Z,-15.4821,177.4162,16.654,5.1,mb,17,201,13.465,0.53,us,us6000mkyw,2024-03-24T13:31:24.040Z,"228 km N of Ba, Fiji",earthquake,13.78,5.229,0.121,22,reviewed,us,us
2024-03-24T11:53:57.200Z,-1.7427,133.2473,42.523,5.1,mb,83,26,2.162,0.8,us,us6000mkyp,2024-03-28T17:58:00.040Z,"50 km NW of Bintuni, Indonesia",earthquake,7.8,5.218,0.051,123,reviewed,us,us
2024-03-24T06:22:24.010Z,8.7717,126.5104,51.049,5.2,mb,149,26,1.926,0.91,us,us6000mkxk,2024-03-28T18:53:45.999Z,"23 km E of Marihatag, Philippines",earthquake,6.87,4.397,0.035,265,reviewed,us,us
2024-03-24T03:26:36.746Z,-4.0364,143.1222,11.014,5.2,mb,51,122,2.849,0.72,us,us6000mkwv,2024-03-24T03:44:00.040Z,"39 km ENE of Ambunti, Papua New Guinea",earthquake,8.6,3.526,0.054,114,reviewed,us,us
2024-03-24T03:04:06.463Z,-9.444,122.1468,49.537,5.7,mww,94,57,2.114,0.96,us,us6000mkvx,2024-03-25T03:07:52.253Z,"85 km SE of Ende, Indonesia",earthquake,6.72,5.594,0.139,5,reviewed,us,us
2024-03-24T00:30:54.176Z,-9.8046,154.7854,10,5.1,mb,44,52,5.103,0.92,us,us6000mkvd,2024-03-24T00:50:26.040Z,"294 km SW of Gizo, Solomon Islands",earthquake,12.23,1.892,0.095,36,reviewed,us,us
2024-03-23T22:49:54.985Z,-4.0881,143.1282,10,5.2,mb,95,22,12.992,0.84,us,us6000mkuz,2024-03-24T00:20:58.619Z,"37 km ENE of Ambunti, Papua New Guinea",earthquake,6,1.777,0.045,161,reviewed,us,us
2024-03-23T20:40:26.356Z,-4.1406,143.3756,11.271,5.1,mb,45,34,3.119,0.35,us,us6000mku5,2024-03-24T01:19:24.905Z,"62 km E of Ambunti, Papua New Guinea",earthquake,11.6,3.927,0.06,91,reviewed,us,us
2024-03-23T20:22:04.190Z,-4.1388,143.1594,40.151,6.9,mww,127,32,2.935,0.74,us,us6000mksx,2024-03-27T23:39:34.783Z,"38 km ENE of Ambunti, Papua New Guinea",earthquake,8.57,3.508,0.047,44,reviewed,us,us
2024-03-23T13:20:28.442Z,-4.5852,102.7516,60.91,5.3,mww,72,52,0.302,0.87,us,us6000mkqg,2024-03-27T23:40:59.595Z,"82 km SW of Pagar Alam, Indonesia",earthquake,8.11,5.024,0.086,13,reviewed,us,us
2024-03-22T08:52:58.702Z,-5.8668,112.3622,8.498,6.4,mww,80,39,2.242,0.87,us,us6000mkfz,2024-03-28T16:42:49.908Z,"111 km N of Paciran, Indonesia",earthquake,6.82,3.866,0.047,44,reviewed,us,us
2024-03-22T05:31:12.420Z,-5.8955,112.3698,10,5,mb,52,63,2.233,0.79,us,us6000mkf6,2024-03-22T16:01:03.029Z,"108 km N of Paciran, Indonesia",earthquake,4.9,1.872,0.082,47,reviewed,us,us
2024-03-22T04:22:45.781Z,-5.8086,112.3114,10,5.6,mww,68,56,2.23,1.02,us,us6000mkej,2024-03-23T13:03:24.040Z,"118 km N of Paciran, Indonesia",earthquake,3.92,1.846,0.08,15,reviewed,us,us
2024-03-22T03:47:05.209Z,39.3843,71.7608,10,5.1,mb,76,44,0.098,1.12,us,us6000mkeg,2024-03-22T10:11:56.644Z,"26 km NE of Karakenja, Tajikistan",earthquake,7.75,1.87,0.039,217,reviewed,us,us
2024-03-21T02:47:21.746Z,-59.0071,-25.6079,43.024,5.2,mb,78,78,15.697,0.65,us,us6000mk65,2024-03-21T18:54:25.484Z,"South Sandwich Islands region",earthquake,12.26,5.6,0.069,69,reviewed,us,us
2024-03-21T00:19:11.766Z,-2.0318,137.4539,3.186,5.1,mww,69,41,3.282,0.88,us,us6000mk4w,2024-03-21T00:38:49.040Z,"179 km ESE of Biak, Indonesia",earthquake,6.94,4.49,0.089,12,reviewed,us,us
2024-03-21T00:08:03.187Z,35.9877,139.7988,48.343,5.2,mww,120,90,1.399,0.73,us,us6000mk4v,2024-03-28T22:19:00.576Z,"4 km E of Kasukabe, Japan",earthquake,6.22,5.742,0.073,18,reviewed,us,us
2024-03-20T19:50:55.757Z,-31.4035,179.7294,441.673,5.3,mww,115,42,2.947,0.76,us,us6000mk3m,2024-03-26T17:42:18.040Z,"Kermadec Islands region",earthquake,11.01,5.044,0.089,12,reviewed,us,us
2024-03-20T08:24:56.332Z,-2.1353,100.4432,53.163,5,mb,58,40,4.46,0.79,us,us6000mjy1,2024-03-20T08:41:11.040Z,"95 km E of Tuapejat, Indonesia",earthquake,8.23,6.916,0.074,58,reviewed,us,us
2024-03-20T05:48:21.340Z,-56.2612,-27.4164,117.965,5.6,mww,61,60,5.551,0.76,us,us6000mjx0,2024-03-21T05:51:41.549Z,"South Sandwich Islands region",earthquake,10.45,6.602,0.089,12,reviewed,us,us
2024-03-19T21:27:01.939Z,29.7252,65.3575,10,5.4,mww,105,57,7.793,1.06,us,us6000mjux,2024-03-20T21:31:24.015Z,"67 km WNW of Nushki, Pakistan",earthquake,7.97,1.844,0.117,7,reviewed,us,us
2024-03-19T18:07:02.532Z,-56.4959,-143.3884,10,5.5,mww,24,64,32.845,0.76,us,us6000mk0i,2024-03-26T16:16:10.254Z,"Pacific-Antarctic Ridge",earthquake,8.71,1.837,0.117,7,reviewed,us,us
2024-03-19T02:25:31.490Z,-31.2993,-179.1359,9.393,5.5,mww,51,48,2.287,0.51,us,us6000mjpw,2024-03-24T23:43:07.779Z,"Kermadec Islands region",earthquake,8.86,2.422,0.06,27,reviewed,us,us
2024-03-19T00:35:19.253Z,29.7078,65.3794,10,5.5,mww,209,41,7.786,0.69,us,us6000mjpj,2024-03-20T02:11:17.087Z,"64 km WNW of Nushki, Pakistan",earthquake,7.72,1.768,0.073,18,reviewed,us,us
2024-03-18T11:04:37.452Z,24.2215,142.777,10,5.3,mww,119,25,2.911,1,us,us6000mjkb,2024-03-27T17:44:02.142Z,"Volcano Islands, Japan region",earthquake,8.07,1.639,0.056,31,reviewed,us,us
2024-03-18T00:18:04.750Z,-6.2343,146.9049,94.506,5.1,mb,73,76,7.203,0.65,us,us6000mjij,2024-03-18T00:45:10.276Z,"55 km N of Lae, Papua New Guinea",earthquake,9.61,7.281,0.068,69,reviewed,us,us
2024-03-17T11:10:16.669Z,-3.3398,148.6541,10,5.3,mww,79,54,3.483,0.65,us,us6000mjfc,2024-04-04T14:55:24.269Z,"210 km SE of Lorengau, Papua New Guinea",earthquake,8.24,1.763,0.054,33,reviewed,us,us
2024-03-17T06:03:55.541Z,12.6124,48.0066,10,5.2,mww,135,42,5.16,0.61,us,us6000mjed,2024-03-25T20:28:41.040Z,"162 km N of Las Khorey, Somalia",earthquake,4.83,1.817,0.08,15,reviewed,us,us
2024-03-17T00:44:03.563Z,12.3515,-87.6834,52.796,5.6,mww,70,132,0.732,1.36,us,us6000mjct,2024-03-18T00:48:00.702Z,"50 km SSW of Jiquilillo, Nicaragua",earthquake,6.82,5.061,0.05,38,reviewed,us,us
2024-03-16T21:17:04.733Z,37.1351,141.4676,47.649,5.3,mww,139,73,2.681,0.46,us,us6000mjbp,2024-03-18T17:05:24.040Z,"45 km ESE of Tomioka, Japan",earthquake,6.35,4.661,0.068,21,reviewed,us,us
2024-03-16T13:56:30.309Z,13.8762,-93.1685,10,5,mb,46,159,1.704,0.89,us,us6000mja9,2024-03-16T14:16:35.040Z,"123 km SW of Puerto Madero, Mexico",earthquake,7.82,1.922,0.031,323,reviewed,us,us
2024-03-16T03:32:04.028Z,-5.2228,150.8459,10,5.2,mww,48,92,9.95,0.92,us,us6000mj83,2024-03-17T08:26:40.040Z,"86 km ENE of Kimbe, Papua New Guinea",earthquake,11.64,1.877,0.089,12,reviewed,us,us
2024-03-16T00:14:52.156Z,-58.9182,158.3605,10,5.9,mww,58,55,4.443,0.51,us,us6000mj77,2024-03-17T19:46:20.040Z,"Macquarie Island region",earthquake,10.98,1.829,0.071,19,reviewed,us,us
2024-03-15T11:03:59.654Z,28.441,130.0943,10,5,mww,229,108,2.273,0.93,us,us6000mj1p,2024-04-04T14:54:06.040Z,"48 km E of Tatsugō, Japan",earthquake,6.25,1.372,0.089,12,reviewed,us,us
