time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-04T14:30:06.269Z,24.2289,121.7875,17.582,4.9,mb,48,63,0.577,0.82,us,us7000m9vn,2024-04-04T19:13:03.040Z,"33 km NNE of Hualien City, Taiwan",earthquake,4.05,3.907,0.043,177,reviewed,us,us
2024-04-04T14:20:27.773Z,36.1683,-33.9707,10,5,mb,46,88,22.845,0.7,us,us7000m9vm,2024-04-04T14:39:53.040Z,"Azores Islands region",earthquake,5.44,1.83,0.046,152,reviewed,us,us
2024-04-04T13:45:26.820Z,18.8526,-68.2941,27,3.85,md,13,197,0.3498,0.78,pr,pr2024095000,2024-04-04T16:31:15.040Z,"32 km NNE of Punta Cana, Dominican Republic",earthquake,7.2,15.97,0.12,6,reviewed,pr,pr
2024-04-04T12:53:30.386Z,-20.1432,-176.8543,360.54,4.5,mb,33,84,1.853,0.45,us,us7000m9v5,2024-04-04T13:17:29.040Z,"197 km NW of Houma, Tonga",earthquake,9.28,8.011,0.106,28,reviewed,us,us
2024-04-04T12:19:17.620Z,40.377,-125.1441667,10,2.56,md,42,277,0.6191,0.37,nc,nc74029161,2024-04-04T21:44:44.427Z,"73 km W of Petrolia, CA",earthquake,1.6,31.61,0.345,49,reviewed,nc,nc
2024-04-04T11:42:08.441Z,-15.9825,167.8694,180.098,4.5,mb,54,140,5.677,0.36,us,us7000m9v2,2024-04-04T14:18:18.040Z,"50 km ENE of Lakatoro, Vanuatu",earthquake,12.64,7.944,0.077,49,reviewed,us,us
2024-04-04T11:21:56.670Z,37.4148331,-118.6384964,12.45,2.64,md,28,88,0.2044,0.13,nc,nc74029126,2024-04-04T15:29:34.343Z,"4 km W of Round Valley, CA",earthquake,0.47,2.09,0.13,25,automatic,nc,nc
2024-04-04T07:38:05.254Z,12.8883,-88.8859,56.143,5.1,mww,137,119,0.796,0.81,us,us7000m9u3,2024-04-04T11:41:36.532Z,"56 km SW of Puerto El Triunfo, El Salvador",earthquake,6.51,5.155,0.055,32,reviewed,us,us
2024-04-04T06:50:49.490Z,38.8111649,-122.8213348,1.92,2.98,md,59,27,0.006543,0.12,nc,nc74028971,2024-04-04T13:14:36.810Z,"7 km NW of The Geysers, CA",earthquake,0.16,0.26,0.15,71,automatic,nc,nc
2024-04-04T06:39:52.592Z,0.0671,123.3522,148.047,4.9,mb,86,47,2.772,0.86,us,us7000m9tu,2024-04-04T06:57:12.040Z,"61 km SSE of Gorontalo, Indonesia",earthquake,7.98,6.954,0.071,61,reviewed,us,us
2024-04-04T06:27:26.004Z,58.1462,-151.6335,26.6,3.4,ml,,,,0.57,ak,ak0244d7seta,2024-04-04T15:22:08.241Z,"56 km ENE of Ouzinkie, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2024-04-04T06:03:04.850Z,19.2535,-67.7006666666667,19.42,3.21,md,9,274,0.9607,0.22,pr,pr71444568,2024-04-04T06:25:09.420Z,"104 km NE of Punta Cana, Dominican Republic",earthquake,4.09,7.24,0.0420037723703786,9,reviewed,pr,pr
2024-04-04T05:16:56.677Z,24.1695,121.753,27.624,4.4,mb,32,120,0.605,0.53,us,us7000m9tk,2024-04-04T05:41:15.040Z,"26 km NE of Hualien City, Taiwan",earthquake,2.82,5.101,0.12,20,reviewed,us,us
2024-04-04T05:00:30.724Z,24.2058,121.7805,27.542,4.5,mwr,73,120,0.591,0.58,us,us7000m9tg,2024-04-04T05:21:51.040Z,"31 km NE of Hualien City, Taiwan",earthquake,3.84,5.599,0.062,25,reviewed,us,us
2024-04-04T04:52:17.100Z,19.1586666107178,-155.357330322266,27.1200008392334,2.51999998,md,46,188,0.0991,0.140000001,hv,hv74160312,2024-04-04T04:54:08.900Z,"13 km ESE of Pāhala, Hawaii",earthquake,0.5,0.74000001,0.0799999982,5,automatic,hv,hv
2024-04-04T04:16:07.624Z,70.428,-135.3144,49.7,2.5,ml,,,,1.02,ak,ak0244d6j7yd,2024-04-04T16:02:06.347Z,"238 km NNW of Inuvik, Canada",earthquake,,38.8,,,reviewed,ak,ak
2024-04-04T03:16:31.452Z,37.7196,141.924,40.061,6.1,mww,105,62,3.137,0.9,us,us7000m9sq,2024-04-05T03:27:23.246Z,"83 km E of Minami-Sōma, Japan",earthquake,7.58,5.054,0.046,45,reviewed,us,us
2024-04-04T03:14:29.253Z,23.9883,121.6925,36.932,4.5,mb,19,125,0.695,0.52,us,us7000m9t2,2024-04-04T19:16:30.040Z,"9 km E of Hualien City, Taiwan",earthquake,2.49,9.347,0.243,5,reviewed,us,us
2024-04-04T02:15:51.795Z,35.6483,139.6828,96.406,4.4,mb,37,136,1.495,1.1,us,us7000m9sk,2024-04-04T13:00:07.900Z,"2 km S of Motoyoyogichō, Japan",earthquake,7.24,8.467,0.103,27,reviewed,us,us
2024-04-04T02:02:54.543Z,24.2544,121.8265,11.856,4.6,mb,40,119,0.583,0.65,us,us7000m9si,2024-04-04T19:19:01.040Z,"38 km NE of Hualien City, Taiwan",earthquake,1.62,4.487,0.12,21,reviewed,us,us
2024-04-04T01:38:32.820Z,31.654,-104.411,6.0999,2.6,ml,14,67,0,0.2,tx,tx2024gpwo,2024-04-04T09:31:55.720Z,"57 km S of Whites City, New Mexico",earthquake,1.115297013400086,0.9520053525370948,0.1,19,reviewed,tx,tx
2024-04-04T01:33:20.669Z,35.6736908,-97.38398743,1.781601191,2.71,ml,87,23.95775604,0.1141470596,0.6768495288,ok,ok2024gpwj,2024-04-04T19:29:49.890Z,"5 km W of Arcadia, Oklahoma",earthquake,1.173763368,1.020004977,0.23,67,automatic,ok,ok
2024-04-04T01:29:08.260Z,23.7721,121.5464,13.797,4.6,mb,51,81,0.442,0.75,us,us7000m9sb,2024-04-04T19:20:51.040Z,"23 km SSW of Hualien City, Taiwan",earthquake,4.34,4.898,0.099,30,reviewed,us,us
2024-04-04T01:08:52.808Z,58.2706,-153.1056,35.3,2.8,ml,,,,0.45,ak,ak0244d4p8bk,2024-04-04T02:31:15.040Z,"26 km NNW of Aleneva, Alaska",earthquake,,5.9,,,automatic,ak,ak
2024-04-04T00:39:38.112Z,38.4951,90.9583,10,5.3,mb,48,72,9.933,0.84,us,us7000m9rx,2024-04-04T00:50:13.040Z,"197 km ESE of Bingtuan Sanshiliu Tuan, China",earthquake,9.14,1.92,0.087,45,reviewed,us,us
2024-04-04T00:28:15.226Z,-24.4482,-69.54,79.972,5.1,mb,65,105,0.713,1.16,us,us7000m9rr,2024-04-04T00:49:15.025Z,"123 km SE of Antofagasta, Chile",earthquake,5.02,5.412,0.028,404,reviewed,us,us
2024-04-04T00:19:51.385Z,-32.9961,-178.2496,10,5.1,mb,25,82,3.733,1.13,us,us7000m9rq,2024-04-04T01:07:48.040Z,"south of the Kermadec Islands",earthquake,11.55,1.851,0.138,17,reviewed,us,us
2024-04-03T23:06:55.341Z,14.0052,-90.2221,132.429,4.5,mb,29,164,0.441,0.76,us,us7000m9rf,2024-04-04T00:16:51.040Z,"3 km NNW of Pasaco, Guatemala",earthquake,6.46,5.968,0.066,66,reviewed,us,us
2024-04-03T22:57:52.788Z,-11.6439,166.445,144.616,4.5,mb,26,148,9.095,0.47,us,us7000m9re,2024-04-04T00:23:09.040Z,"123 km SE of Lata, Solomon Islands",earthquake,11.45,8.667,0.113,23,reviewed,us,us
2024-04-03T22:46:35.681Z,23.9512,121.7035,43.784,4.3,mb,37,84,0.669,0.81,us,us7000m9r8,2024-04-03T23:13:54.040Z,"10 km ESE of Hualien City, Taiwan",earthquake,4.24,8.528,0.123,19,reviewed,us,us
2024-04-03T22:41:50.371Z,44.2831,148.4468,35,4.9,mb,60,135,4.212,0.74,us,us7000m9r6,2024-04-03T23:19:37.040Z,"114 km SSE of Kuril’sk, Russia",earthquake,7.24,1.68,0.043,172,reviewed,us,us
2024-04-03T21:56:11.907Z,24.1636,121.713,17.225,4.8,mb,58,76,0.59,0.77,us,us7000m9r0,2024-04-04T19:22:41.040Z,"23 km NNE of Hualien City, Taiwan",earthquake,3.95,4.622,0.092,37,reviewed,us,us
2024-04-03T20:29:19.158Z,24.277,121.8216,16.685,4.5,mb,53,61,0.564,0.72,us,us7000m9qk,2024-04-04T19:25:08.040Z,"39 km NNE of Hualien City, Taiwan",earthquake,1.95,4.521,0.089,37,reviewed,us,us
2024-04-03T19:58:15.330Z,35.8574,25.832,85.265,4,mb,55,98,0.955,0.94,us,us7000m9qe,2024-04-03T20:44:26.040Z,"65 km SSE of Emporeío, Greece",earthquake,6.79,8.408,0.102,26,reviewed,us,us
2024-04-03T19:46:52.903Z,23.7586,121.7988,21.35,4.5,mwr,91,86,0.587,0.7,us,us7000m9qc,2024-04-03T20:29:55.040Z,"31 km SE of Hualien City, Taiwan",earthquake,3.12,4.844,0.073,18,reviewed,us,us
2024-04-03T19:07:25.307Z,23.9044,121.7331,34.515,4.3,mb,45,85,0.648,0.75,us,us7000m9q8,2024-04-03T19:51:19.040Z,"15 km ESE of Hualien City, Taiwan",earthquake,3.4,5.413,0.103,27,reviewed,us,us
